"Target.pair","Sensitivity","Size","Target1.sen","Target2.sen","Synergy.add","Synergy.multi","Synergy.highest"
"AR;JAK1/JAK2",0.622254409839712,"2",0.645146425113301,0.519548289332248,-0.542440304605837,0.287069688303281,-0.022892015273589
"JAK1/JAK2;TOP2B",0.315085554737503,"2",0.519548289332248,0.201374818806055,-0.4058375534008,0.210461612112226,-0.204462734594745
"AR;TOP2B",0.37204293050711,"2",0.645146425113301,0.201374818806055,-0.474478313412246,0.242126686046545,-0.273103494606191
"TNFA;TOP2B",1,"2",1,0.201374818806055,-0.201374818806055,0.798625181193945,0
"JAK1/JAK2;TNFA",1,"2",0.519548289332248,1,-0.519548289332248,0.480451710667752,0
"AR;TNFA",1,"2",0.645146425113301,1,-0.645146425113301,0.354853574886699,0
"MAP2K3/MAP2K4/MAP2K5/MAP2K6/MAP2K7;TNFA",1,"2",0.507322174138292,1,-0.507322174138292,0.492677825861708,0
"MAP2K3/MAP2K4/MAP2K5/MAP2K6/MAP2K7;TOP2B",0.337586867763357,"2",0.507322174138292,0.201374818806055,-0.37111012518099,0.235424956869965,-0.169735306374935
"JAK1/JAK2;MAP2K3/MAP2K4/MAP2K5/MAP2K6/MAP2K7",0.553342284352208,"2",0.519548289332248,0.507322174138292,-0.473528179118332,0.289763916638342,0.0337939950199601
"AR;MAP2K3/MAP2K4/MAP2K5/MAP2K6/MAP2K7",0.596822739660637,"2",0.645146425113301,0.507322174138292,-0.555645859590956,0.26952565263461,-0.048323685452664
